image_id,fname,mask,distancing,5k
1,1.jpg,1,1,1
2,2.jpg,0,,
3,3.jpg,1,1,1
4,4.jpg,1,1,1
5,5.jpg,0,0,0
6,6.jpg,0,,
7,7.jpg,0,,
8,8.jpg,0,1,0
9,9.jpg,0,0,0
10,10.jpg,1,0,0
11,11.jpg,1,0,0
12,12.jpg,,1,
13,13.jpg,0,,
14,14.jpg,1,1,1
15,15.jpg,0,1,0
16,16.jpg,0,0,0
17,17.jpg,,1,
18,18.jpg,1,,
19,19.jpg,1,,
20,20.jpg,1,0,0
21,21.jpg,0,,
22,22.jpg,0,,
23,23.jpg,1,,
24,24.jpg,1,1,1
25,25.jpg,0,0,0
26,26.jpg,1,1,1
27,27.jpg,1,,
28,28.jpg,1,0,0
29,29.jpg,1,1,1
30,30.jpg,,1,
31,31.jpg,0,1,0
32,32.jpg,1,,
33,33.jpg,1,,
34,34.jpg,0,,
35,35.jpg,1,1,1
36,36.jpg,1,1,1
37,37.jpg,1,1,1
38,38.jpg,0,,
39,39.jpg,1,1,1
40,40.jpg,1,0,0
41,41.jpg,1,0,0
42,42.jpg,1,,
43,43.jpg,0,,
44,44.jpg,1,1,1
45,45.jpg,1,0,0
46,46.jpg,1,1,1
47,47.jpg,1,1,1
48,48.jpg,1,,
49,49.jpg,1,1,1
50,50.jpg,0,,
51,51.jpg,0,0,0
52,52.jpg,0,0,0
53,53.jpg,1,0,0
54,54.jpg,0,0,0
55,55.jpg,1,1,1
56,56.jpg,1,,
57,57.jpg,1,0,0
58,58.jpg,1,1,1
59,59.jpg,1,,
60,60.jpg,0,,
61,61.jpg,0,0,0
62,62.jpg,0,0,0
63,63.jpg,1,,
64,64.jpg,1,1,1
65,65.jpg,1,1,1
66,66.jpg,1,,
67,67.jpg,1,1,1
68,68.jpg,0,1,0
69,69.jpg,0,0,0
70,70.jpg,1,1,1
71,71.jpg,0,,
72,72.jpg,,1,
73,73.jpg,1,0,0
74,74.jpg,1,1,1
75,75.jpg,1,1,1
76,76.jpg,0,0,0
77,77.jpg,1,1,1
78,78.jpg,1,0,0
79,79.jpg,,1,
80,80.jpg,1,1,1
81,81.jpg,0,,
82,82.jpg,1,,
83,83.jpg,1,,
84,84.jpg,1,1,1
85,85.jpg,1,,
86,86.jpg,1,0,0
87,87.jpg,1,0,0
88,88.jpg,1,1,1
89,89.jpg,,1,
90,90.jpg,0,0,0
91,91.jpg,1,0,0
92,92.jpg,1,1,1
93,93.jpg,0,,
94,94.jpg,,1,
95,95.jpg,1,,
96,96.jpg,,0,
97,97.jpg,0,1,0
98,98.jpg,,0,
99,99.jpg,,0,
100,100.jpg,0,,
101,101.jpg,0,,
102,102.jpg,1,,
103,103.jpg,1,,
104,104.jpg,0,,
105,105.jpg,0,0,0
106,106.jpg,,1,
107,107.jpg,0,1,0
108,108.jpg,1,1,1
109,109.jpg,,1,
110,110.jpg,1,1,1
111,111.jpg,0,0,0
112,112.jpg,1,0,0
113,113.jpg,1,1,1
114,114.jpg,,1,
